"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0042742","GO:0042742","defense response to bacterium","8/28","342/18986",0.0233918128654971,15.8613199665831,10.6583247221447,2.31902943496556e-08,1.09986749071354e-05,7.85538081190613e-06,"CAMP/DEFA4/MPO/HP/S100A12/SLPI/RNASE3/ELANE",8,"BP"
"GO:0050832","GO:0050832","defense response to fungus","5/28","67/18986",0.0746268656716418,50.6023454157782,15.6307055518466,4.33872777401792e-08,1.09986749071354e-05,7.85538081190613e-06,"CAMP/DEFA4/MPO/S100A12/ELANE",5,"BP"
"GO:0009620","GO:0009620","response to fungus","5/28","78/18986",0.0641025641025641,43.4661172161172,14.4429236570101,9.3792931254637e-08,1.26786838536363e-05,9.05526262981603e-06,"CAMP/DEFA4/MPO/S100A12/ELANE",5,"BP"
"GO:0019731","GO:0019731","antibacterial humoral response","5/28","79/18986",0.0632911392405063,42.9159132007233,14.3472683979639,1.00029063934014e-07,1.26786838536363e-05,9.05526262981603e-06,"CAMP/DEFA4/SLPI/RNASE3/ELANE",5,"BP"
"GO:0019730","GO:0019730","antimicrobial humoral response","6/28","185/18986",0.0324324324324324,21.9915057915058,11.0262298020683,2.4877144902755e-07,2.15529519903102e-05,1.53933675587392e-05,"CAMP/DEFA4/S100A12/SLPI/RNASE3/ELANE",6,"BP"
"GO:0006959","GO:0006959","humoral immune response","7/28","310/18986",0.0225806451612903,15.3112903225806,9.7635052303672,2.55064520595387e-07,2.15529519903102e-05,1.53933675587392e-05,"CAMP/DEFA4/S100A12/SLPI/RNASE3/ELANE/SERPING1",7,"BP"
"GO:0001878","GO:0001878","response to yeast","3/28","14/18986",0.214285714285714,145.301020408163,20.7570159461279,1.0342948271053e-06,7.49124967631982e-05,5.3503371507402e-05,"CAMP/MPO/ELANE",3,"BP"
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","5/28","136/18986",0.0367647058823529,24.9290966386555,10.7628710612046,1.50796769908752e-06,9.55674529296718e-05,6.82553800639616e-05,"CAMP/DEFA4/S100A12/RNASE3/ELANE",5,"BP"
"GO:0002227","GO:0002227","innate immune response in mucosa","3/28","28/18986",0.107142857142857,72.6505102040816,14.5810936860338,9.18080840777656e-06,0.000517185540304746,0.000369379893833349,"CAMP/DEFA4/RNASE3",3,"BP"
"GO:0032496","GO:0032496","response to lipopolysaccharide","6/28","354/18986",0.0169491525423729,11.4927360774818,7.65858786792779,1.07257398268993e-05,0.000543795009223794,0.000388384684258248,"CAMP/DEFA4/MPO/SLPI/ELANE/MMP8",6,"BP"
"GO:0002237","GO:0002237","response to molecule of bacterial origin","6/28","375/18986",0.016,10.8491428571429,7.40316234131186,1.48761702085369e-05,0.000685656208702565,0.000489703593467626,"CAMP/DEFA4/MPO/SLPI/ELANE/MMP8",6,"BP"
"GO:0050829","GO:0050829","defense response to Gram-negative bacterium","4/28","107/18986",0.0373831775700935,25.3484646194927,9.70648601065101,1.75900793718506e-05,0.000743180853460688,0.000530788359992685,"CAMP/DEFA4/RNASE3/ELANE",4,"BP"
"GO:0002385","GO:0002385","mucosal immune response","3/28","40/18986",0.075,50.8553571428571,12.1302881598709,2.73619888053147e-05,0.00106236048572439,0.000758750144480824,"CAMP/DEFA4/RNASE3",3,"BP"
"GO:0031640","GO:0031640","killing of cells of another organism","4/28","124/18986",0.032258064516129,21.8732718894009,8.96180643516469,3.14307836013132e-05,0.00106236048572439,0.000758750144480824,"CAMP/DEFA4/S100A12/ELANE",4,"BP"
"GO:0141061","GO:0141061","disruption of cell in another organism","4/28","124/18986",0.032258064516129,21.8732718894009,8.96180643516469,3.14307836013132e-05,0.00106236048572439,0.000758750144480824,"CAMP/DEFA4/S100A12/ELANE",4,"BP"
"GO:0141060","GO:0141060","disruption of anatomical structure in another organism","4/28","127/18986",0.031496062992126,21.3565804274466,8.84576530623695,3.45199798137267e-05,0.00106627520359214,0.000761546081253391,"CAMP/DEFA4/S100A12/ELANE",4,"BP"
"GO:0002251","GO:0002251","organ or tissue specific immune response","3/28","44/18986",0.0681818181818182,46.2321428571429,11.5437959590073,3.65337950576566e-05,0.00106627520359214,0.000761546081253391,"CAMP/DEFA4/RNASE3",3,"BP"
"GO:0001906","GO:0001906","cell killing","5/28","264/18986",0.0189393939393939,12.8422619047619,7.44643772250996,3.78559243878866e-05,0.00106627520359214,0.000761546081253391,"KLRB1/CAMP/DEFA4/S100A12/ELANE",5,"BP"
"GO:0019732","GO:0019732","antifungal humoral response","2/28","12/18986",0.166666666666667,113.011904761905,14.916379164744,0.000137168962728502,0.00366024547912372,0.0026141896497842,"CAMP/DEFA4",2,"BP"
"GO:0035821","GO:0035821","modulation of process of another organism","2/28","21/18986",0.0952380952380952,64.578231292517,11.2028809981013,0.000432877031776194,0.0109734327555265,0.00783735257531635,"CAMP/SLPI",2,"BP"
"GO:0006935","GO:0006935","chemotaxis","5/28","472/18986",0.0105932203389831,7.18296004842615,5.22763632247779,0.000569367912915199,0.0133756757527657,0.0095530623044771,"TNFAIP6/DEFA4/S100A12/RNASE3/ELANE",5,"BP"
"GO:0042330","GO:0042330","taxis","5/28","474/18986",0.0105485232067511,7.15265220012055,5.21330246790515,0.000580404076056893,0.0133756757527657,0.0095530623044771,"TNFAIP6/DEFA4/S100A12/RNASE3/ELANE",5,"BP"
"GO:0051702","GO:0051702","biological process involved in interaction with symbiont","3/28","129/18986",0.0232558139534884,15.7691029900332,6.46845752258625,0.000886590817594001,0.0183866668163551,0.0131319700712679,"IFI27/CAMP/ELANE",3,"BP"
"GO:0019079","GO:0019079","viral genome replication","3/28","130/18986",0.0230769230769231,15.6478021978022,6.44031953044988,0.000906640375559918,0.0183866668163551,0.0131319700712679,"IFI27/RSAD2/SLPI",3,"BP"
"GO:0050830","GO:0050830","defense response to Gram-positive bacterium","3/28","130/18986",0.0230769230769231,15.6478021978022,6.44031953044988,0.000906640375559918,0.0183866668163551,0.0131319700712679,"CAMP/DEFA4/RNASE3",3,"BP"
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","2/28","31/18986",0.0645161290322581,43.7465437788018,9.15393903259426,0.000949812933513268,0.0185213522035087,0.0132281639323305,"MPO/HP",2,"BP"
"GO:0051873","GO:0051873","killing by host of symbiont cells","2/28","34/18986",0.0588235294117647,39.8865546218487,8.72166613013497,0.00114277448977562,0.0213180052223704,0.0152255658600548,"CAMP/ELANE",2,"BP"
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","4/28","322/18986",0.0124223602484472,8.42324755989352,5.1630647800536,0.00120549153505385,0.0213180052223704,0.0152255658600548,"IFI27/CAMP/ELANE/CLEC5A",4,"BP"
"GO:0019058","GO:0019058","viral life cycle","4/28","323/18986",0.0123839009287926,8.39716939407342,5.15304760005867,0.00121937307978055,0.0213180052223704,0.0152255658600548,"IFI27/RSAD2/SLPI/CLEC5A",4,"BP"
"GO:0070269","GO:0070269","pyroptotic inflammatory response","2/28","40/18986",0.05,33.9035714285714,8.00575556552099,0.00158022232157242,0.0267057572345739,0.0190735606533654,"IFI27/ELANE",2,"BP"
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","2/28","48/18986",0.0416666666666667,28.2529761904762,7.26533353086372,0.00226865749788869,0.0371035274654698,0.0264997683963908,"CEACAM8/CEACAM6",2,"BP"
"GO:0006968","GO:0006968","cellular defense response","2/28","52/18986",0.0384615384615385,26.0796703296703,6.95969753501127,0.00265718755910531,0.0408240634080724,0.0291570181924155,"KLRG1/CLEC5A",2,"BP"
"GO:0050922","GO:0050922","negative regulation of chemotaxis","2/28","52/18986",0.0384615384615385,26.0796703296703,6.95969753501127,0.00265718755910531,0.0408240634080724,0.0291570181924155,"TNFAIP6/ELANE",2,"BP"
"GO:0050900","GO:0050900","leukocyte migration","4/28","404/18986",0.0099009900990099,6.71357850070721,4.46108717847696,0.00275990409720377,0.0411550405083033,0.0293934058649566,"TNFAIP6/DEFA4/S100A12/ELANE",4,"BP"
"GO:0042743","GO:0042743","hydrogen peroxide metabolic process","2/28","55/18986",0.0363636363636364,24.6571428571429,6.75219407301015,0.00296769727426611,0.0417950699459144,0.0298505222908638,"MPO/HP",2,"BP"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","2/28","55/18986",0.0363636363636364,24.6571428571429,6.75219407301015,0.00296769727426611,0.0417950699459144,0.0298505222908638,"RSAD2/SLPI",2,"BP"
